word	shaw	ipa	pos	var	confidence	notes
disingenious	𐑛𐑦𐑕𐑦𐑯𐑡𐑧𐑯𐑘𐑩𐑩𐑕	dˌɪsɪndʒˈenjəəs	UNC	RSSB	89	shave_says:𐑛𐑦𐑕𐑦𐑯𐑡𐑰𐑯𐑾𐑕
doctoral	𐑛𐑪𐑒𐑑𐑼𐑼𐑤	dɒktərəRl	UNC	RSSB	89	shave_says:𐑛𐑪𐑒𐑑𐑹𐑩𐑤
downloadable	𐑛𐑬𐑯𐑤𐑴𐑛𐑦𐑚𐑩𐑤	dˈaʊnlˌəʊdɪbəl	UNC	RSSB	89	shave_says:𐑛𐑬𐑯𐑤𐑴𐑛𐑩𐑚𐑩𐑤
dubai	𐑛𐑵𐑚𐑲	duːbˈaɪ	UNC	RSSB	89	shave_says:𐑛𐑿𐑚𐑲
duh	𐑛𐑻	dˈɜː	UNC	RSSB	89	shave_says:𐑛𐑳
dunbartonshire	𐑛𐑳𐑯𐑚𐑸𐑑𐑼𐑯𐑖𐑼	dʌnbɑːRtəRnʃəR	UNC	RSSB	89	shave_says:𐑛𐑳𐑯𐑚𐑸𐑑𐑩𐑯𐑖𐑼
eco	𐑧𐑒𐑴	ˈekəʊ	UNC	RSSB	89	shave_says:𐑰𐑒𐑴
ecommerce	𐑰𐑒𐑪𐑥𐑻𐑕	iːkɒmɜːRs	UNC	RSSB	89	shave_says:𐑰𐑒𐑪𐑥𐑼𐑕
eire	𐑺𐑼	eərəR	UNC	RSSB	89	shave_says:𐑺𐑧
em	𐑧𐑥	ˈem	UNC	RSSB	89	shave_says:𐑩𐑥
ens	𐑧𐑯𐑟	ˈenz	UNC	RSSB	89	shave_says:ens
etcetera	𐑦𐑑𐑕𐑧𐑑𐑼𐑩	ɪtsetərə	UNC	RSSB	89	shave_says:𐑧𐑑𐑕𐑧𐑑𐑼𐑩
exec	𐑧𐑜𐑟𐑧𐑒	ˌeɡzˈek	UNC	RSSB	89	shave_says:𐑦𐑜𐑟𐑧𐑒
expedia	𐑧𐑒𐑕𐑐𐑰𐑛𐑾	ekspˈiːdɪə	UNC	RSSB	89	shave_says:𐑦𐑒𐑕𐑐𐑰𐑛𐑾
eynsham	𐑧𐑯𐑖𐑩𐑥	ˈenʃəm	UNC	RSSB	89	shave_says:𐑱𐑯𐑖𐑩𐑥
fellas	𐑓𐑧𐑤𐑩𐑕	fˈeləs	UNC	RSSB	89	shave_says:𐑓𐑧𐑤𐑩𐑟
front-page	𐑓𐑮𐑳𐑯𐑑𐑐𐑱𐑡	frʌntpeɪdʒ	UNC	RSSB	89	shave_says:𐑓𐑮𐑳𐑯𐑑-𐑐𐑱𐑡
gees	𐑜𐑰𐑟	ɡˈiːz	UNC	RSSB	89	shave_says:𐑡𐑰𐑟
geordie	𐑡𐑹𐑛𐑦	dʒɔːRdi	UNC	RSSB	89	shave_says:𐑡𐑦𐑹𐑛𐑦
