type	word	pos	var	ipa	shaw_fragment	full_ipa	full_shaw	confidence
affix	-glitazone	UNC	RSSB	ˈɡlɪtəzəʊn	𐑜𐑤𐑦𐑑𐑩𐑟𐑴𐑯			89
affix	-glitazone	UNC	GenAm	ˈɡlɪtəˌzoʊn	𐑜𐑤𐑦𐑑𐑩𐑟𐑴𐑯	ˈɡlɪtəˌzoʊn	𐑜𐑤𐑦𐑑𐑩𐑟𐑴𐑯	89
affix	-gonium	UNC	RSSB	ˈɡəʊnɪəm	𐑜𐑴𐑯𐑾𐑥			89
affix	-gonium	UNC	GenAm	ˈɡoʊnɪəm	𐑜𐑴𐑯𐑾𐑥			89
affix	-ham	UNC	RSSB	əm	𐑩𐑥			89
affix	-ham	UNC	GenAm	əm	𐑩𐑥			89
affix	-ham	UNC	RSSB	həm	𐑣𐑩𐑥			89
affix	-ham	UNC	GenAm	həm	𐑣𐑩𐑥			89
affix	-ham	UNC	GenAm	ˌhæm	𐑣𐑨𐑥			89
affix	-hon	NN1	RSSB	-hɒn	-𐑣𐑪𐑯			89
affix	-hon	NN1	GenAm	-hɒn	-𐑣𐑪𐑯			89
affix	-ial	UNC	RSSB	-iːəl	-𐑰𐑩𐑤			89
affix	-ial	UNC	GenAm	-iəl	-𐑦𐑩𐑤			89
affix	-ials	UNC	RSSB	-iːəlz	-𐑰𐑩𐑤𐑟			89
affix	-ials	UNC	GenAm	-iəlz	-𐑦𐑩𐑤𐑟			89
affix	-ie	UNC	RSSB	-iː	-𐑰			89
affix	-ie	UNC	GenAm	-i	-𐑦			89
affix	-ilide	UNC	GenAm	əˌlaɪd	𐑩𐑤𐑲𐑛			89
affix	-ino	UNC	RSSB	ˈiːnəʊ	𐑰𐑯𐑴			89
affix	-ino	UNC	GenAm	ˈinoʊ	𐑦𐑯𐑴			89
affix	-ion	UNC	RSSB	ɪən	𐑾𐑯	ˈaɪɒn	𐑲𐑪𐑯	89
affix	-ion	UNC	GenAm	aɪən	𐑲𐑩𐑯	ˈaɪɒn	𐑲𐑪𐑯	89
affix	-ish	UNC	GenAm	ɪʃ	𐑦𐑖			89
affix	-itude	UNC	RSSB	ˌtjuːd	𐑑𐑿𐑛			89
affix	-itude	UNC	RSSB	ˌtʃʉud	𐑗ʉ𐑫𐑛			1
affix	-itude	UNC	GenAm	ˌtu̟d	𐑑𐑫̟𐑛			1
affix	-ity	UNC	RSSB	əti	𐑩𐑑𐑦			89
affix	-ity	UNC	GenAm	əti	𐑩𐑑𐑦			89
affix	-ity	UNC	RSSB	ɪti	𐑦𐑑𐑦			89
affix	-ity	UNC	GenAm	ɪti	𐑦𐑑𐑦			89
affix	-ity	UNC	GenAm	ti	𐑑𐑦			89
affix	-ization	UNC	RSSB	-ˌaɪˈzeɪʃən	-𐑲𐑟𐑱𐑖𐑩𐑯			97
affix	-ization	UNC	GenAm	-ˌaɪˈzeɪʃən	-𐑲𐑟𐑱𐑖𐑩𐑯			89
affix	-ization	UNC	RSSB	-əˈzeɪʃən	-𐑩𐑟𐑱𐑖𐑩𐑯			89
affix	-ization	UNC	GenAm	-əˈzeɪʃən	-𐑩𐑟𐑱𐑖𐑩𐑯			89
affix	-ize	UNC	GenAm	-aɪz	-𐑲𐑟			89
affix	-kinesis	UNC	RSSB	kɪˈniːsɪs	𐑒𐑦𐑯𐑰𐑕𐑦𐑕			89
affix	-kiren	UNC	GenAm	kərən	𐑒𐑼𐑩𐑯			89
affix	-kiren	UNC	GenAm	ˈkaɪrən	𐑒𐑲𐑮𐑩𐑯			89
affix	-log	UNC	GenAm	ˌlɒɡ	𐑤𐑪𐑜	lɒɡ	𐑤𐑪𐑜	89
affix	-logue	UNC	RSSB	ˌlɒɡ	𐑤𐑪𐑜			89
affix	-logue	UNC	GenAm	ˌlɒɡ	𐑤𐑪𐑜			89
affix	-logues	UNC	RSSB	lɒɡz	𐑤𐑪𐑜𐑟			89
affix	-loquy	UNC	RSSB	ləkwi	𐑤𐑩𐑒𐑢𐑦			89
affix	-lord	UNC	RSSB	lɔːRd	𐑤𐑹𐑛	lɔːRd	𐑤𐑹𐑛	89
affix	-lord	UNC	GenAm	lɔːRd	𐑤𐑹𐑛	lɔːRd	𐑤𐑹𐑛	89
affix	-ly	UNC	RSSB	liː	𐑤𐑰			89
affix	-ly	UNC	RSSB	lɪ	𐑤𐑦			89
affix	-ly	UNC	GenAm	li	𐑤𐑦			89
affix	-mane	UNC	RSSB	meɪn	𐑥𐑱𐑯			89
affix	-meister	UNC	RSSB	maɪstəR	𐑥𐑲𐑕𐑑𐑼			89
affix	-meister	UNC	GenAm	ˈmaɪstəR	𐑥𐑲𐑕𐑑𐑼			89
affix	-merous	UNC	RSSB	-mərəRs	-𐑥𐑼𐑼𐑕			89
affix	-merous	UNC	GenAm	-mərəs	-𐑥𐑼𐑩𐑕			89
affix	-metasone	UNC	RSSB	ˈmetəsəʊn	𐑥𐑧𐑑𐑩𐑕𐑴𐑯			89
