word	pos	var	shaw	ipa	confidence	source	status	readlex_var	shaw_override	pos_override	var_override	verdict	notes
24-hour clock	NN1	RRP	𐑑𐑢𐑧𐑯𐑑𐑦𐑓𐑹𐑬𐑼 𐑒𐑤𐑪𐑒	twentifɔːraʊəR ˈklɒk	10	wiktionary	new						numeral; shave_says:24-𐑬𐑼 𐑒𐑤𐑪𐑒
30th	AJ0	RRP	𐑔𐑻𐑑𐑦𐑩𐑔	ˈθɜːtiəθ	10	wiktionary	new						numeral; shave_says:30𐑔
360 noscope	NN1	GenAm	𐑔𐑮𐑦𐑕𐑦𐑒𐑕𐑑𐑦𐑯𐑴𐑕𐑒𐑴𐑐	θrisɪkstiˈnoʊskoʊp	10	wiktionary	new						numeral; shave_says:360 𐑯𐑴𐑕𐑒𐑴𐑐
360 noscope	VVI	GenAm	𐑔𐑮𐑦𐑕𐑦𐑒𐑕𐑑𐑦𐑯𐑴𐑕𐑒𐑴𐑐	θrisɪkstiˈnoʊskoʊp	10	wiktionary	new						numeral; shave_says:360 𐑯𐑴𐑕𐑒𐑴𐑐
3D printed	AJ0	GenAm	𐑔𐑮𐑦 𐑛𐑦 𐑐𐑮𐑦𐑯𐑑𐑩𐑛	ˈθri ˈdi ˈprɪntƏd	10	wiktionary	new						numeral; shave_says:3D 𐑐𐑮𐑦𐑯𐑑𐑩𐑛
3D printed	AJ0	RSSB	𐑔𐑮𐑰 𐑛𐑰 𐑐𐑮𐑦𐑯𐑑𐑩𐑛	θriː diː prɪntəd	10	wiktionary	new						numeral; shave_says:3D 𐑐𐑮𐑦𐑯𐑑𐑩𐑛
3D printed	VVI	GenAm	𐑔𐑮𐑦 𐑛𐑦 𐑐𐑮𐑦𐑯𐑑𐑩𐑛	ˈθri ˈdi ˈprɪntƏd	10	wiktionary	new						numeral; shave_says:3D 𐑐𐑮𐑦𐑯𐑑𐑩𐑛
3D printed	VVI	RSSB	𐑔𐑮𐑰 𐑛𐑰 𐑐𐑮𐑦𐑯𐑑𐑩𐑛	θriː diː prɪntəd	10	wiktionary	new						numeral; shave_says:3D 𐑐𐑮𐑦𐑯𐑑𐑩𐑛
3D printer	NN1	GenAm	𐑔𐑮𐑦 𐑛𐑦 𐑐𐑮𐑦𐑯𐑑𐑼	ˈθri ˈdi ˈprɪntəR	10	wiktionary	new						numeral; shave_says:3D 𐑐𐑮𐑦𐑯𐑑𐑼
3D printer	NN1	GenAm	𐑔𐑮𐑦 𐑛𐑦 𐑐𐑮𐑦𐑑𐑼	ˈθri ˈdi ˈprɪtəR	10	wiktionary	new						numeral; shave_says:3D 𐑐𐑮𐑦𐑯𐑑𐑼
3D printer	NN1	RSSB	𐑔𐑮𐑰 𐑛𐑰 𐑐𐑮𐑦𐑯𐑑𐑼	θriː diː prɪntər	10	wiktionary	new						numeral; shave_says:3D 𐑐𐑮𐑦𐑯𐑑𐑼
