word	our_shaw	our_ipa	var	confidence	readlex_shaw	readlex_ipa	notes
enquiry	𐑧𐑯𐑒𐑢𐑲𐑮𐑦	enkwaɪri	RRP	5	𐑦𐑯𐑒𐑢𐑲𐑼𐑦	ɪnˈkwaɪəri	ml_disagrees:𐑦𐑯𐑒𐑢𐑲𐑮𐑦; shave_says:𐑦𐑯𐑒𐑢𐑲𐑼𐑦
epicurean	𐑧𐑐𐑦𐑒𐑘𐑩𐑼𐑰𐑩𐑯	epɪkjəəriːən	RRP	5	𐑧𐑐𐑦𐑒𐑘𐑫𐑼𐑾𐑯	ˌepɪkjʊəˈriən	ml_disagrees:𐑧𐑐𐑦𐑒𐑘𐑫𐑼𐑦ː𐑩𐑯; shave_says:𐑧𐑐𐑦𐑒𐑘𐑫𐑼𐑾𐑯
european	𐑘𐑩𐑼𐑼𐑐𐑰𐑩𐑯	jəərəRpiːən	RRP	5	𐑘𐑫𐑼𐑩𐑐𐑾𐑯	ˌjʊərəˈpiən	ml_disagrees:𐑘𐑫𐑼𐑼𐑐𐑰𐑩𐑯; shave_says:𐑘𐑫𐑼𐑩𐑐𐑾𐑯
eventual	𐑦𐑝𐑧𐑯𐑖𐑫𐑼𐑤	ɪˈvenʃʊəl	RRP	5	𐑦𐑝𐑧𐑯𐑗𐑫𐑩𐑤	ɪˈventʃuəl	ml_disagrees:𐑦𐑝𐑧𐑯𐑖𐑫𐑩𐑤; shave_says:𐑦𐑝𐑧𐑯𐑗𐑫𐑩𐑤
extenuation	𐑧𐑒𐑕𐑑𐑧𐑯𐑘𐑩𐑱𐑖𐑩𐑯	eksˌtenjəˈeɪʃən	RRP	5	𐑦𐑒𐑕𐑑𐑧𐑯𐑘𐑫𐑱𐑖𐑩𐑯	ɪkˌstenjuˈeɪʃən	ml_disagrees:𐑧𐑒𐑕𐑑𐑧𐑯𐑘𐑫𐑱𐑖𐑩𐑯; shave_says:𐑦𐑒𐑕𐑑𐑧𐑯𐑘𐑫𐑱𐑖𐑩𐑯
factual	𐑓𐑨𐑒𐑖𐑫𐑼𐑤	ˈfakʃʊəl	RRP	5	𐑓𐑨𐑒𐑗𐑫𐑩𐑤	ˈfæktʃuəl	ml_disagrees:𐑓𐑨𐑒𐑖𐑫𐑩𐑤; shave_says:𐑓𐑨𐑒𐑗𐑫𐑩𐑤
flibbertigibbet	𐑓𐑤𐑦𐑚𐑼𐑑𐑦𐑡𐑦𐑚𐑦𐑑	flɪbəRtidʒɪbɪt	RRP	5	𐑓𐑤𐑦𐑚𐑼𐑑𐑦𐑡𐑦𐑚𐑩𐑑	ˌflɪbəRtiˈdʒɪbIt	ml_disagrees:𐑓𐑤𐑦𐑚𐑼𐑑𐑦𐑡𐑩𐑚𐑦𐑑; shave_says:𐑓𐑤𐑦𐑚𐑼𐑑𐑦𐑡𐑦𐑚𐑩𐑑
gibbet	𐑡𐑦𐑚𐑦𐑑	ˈdʒɪbɪt	RRP	5	𐑡𐑦𐑚𐑩𐑑	ˈdʒɪbIt	ml_disagrees:𐑡𐑩𐑚𐑦𐑑; shave_says:𐑡𐑦𐑚𐑩𐑑
gibraltarian	𐑡𐑦𐑚𐑮𐑹𐑤𐑑𐑺𐑦𐑼𐑯	dʒɪbrɔːRlteəriəRn	RRP	5	𐑡𐑦𐑚𐑮𐑷𐑤𐑑𐑺𐑾𐑯	ˌdʒɪbrɔːlˈteərɪən	ml_disagrees:𐑡𐑩𐑚𐑮𐑹𐑤𐑑𐑺𐑦𐑼𐑯; shave_says:𐑡𐑦𐑚𐑮𐑷𐑤𐑑𐑺𐑾𐑯
immature	𐑦𐑥𐑩𐑑𐑘𐑩𐑼	ɪmətjəəR	RRP	5	𐑦𐑥𐑩𐑗𐑫𐑼	ˌɪməˈtʃʊəR	ml_disagrees:𐑦𐑥𐑩𐑑𐑘ː𐑼; shave_says:𐑦𐑥𐑩𐑗𐑫𐑼
