curvy,AJ0,RRP,keep,𐑒𐑻𐑝𐑦,𐑒𐑻𐑝𐑦,kɜːRvi,ˈkɜːRvi,,,shave_agrees
dartboard,NN1,RRP,keep,𐑛𐑸𐑑𐑚𐑹𐑛,𐑛𐑸𐑑𐑚𐑹𐑛,dɑːRtbɔːRd,ˈdɑːRtbɔːrd,,,shave_agrees
daystar,NN1,RRP,keep,𐑛𐑱𐑕𐑑𐑸,𐑛𐑱𐑕𐑑𐑸,deɪstɑːR,ˈdeɪstɑːR,,,shave_agrees
deferral,NN1,RRP,keep,𐑛𐑦𐑓𐑻𐑩𐑤,𐑛𐑦𐑓𐑻𐑩𐑤,dɪfɜːrəl,dɪˈfɜːRəl,,,"r_gap:spelling=2,ipa=1; shave_agrees"
demurral,NN1,RRP,keep,𐑛𐑦𐑥𐑻𐑩𐑤,𐑛𐑦𐑥𐑻𐑩𐑤,dɪmɜːrəl,dɪˈmɜːRəl,,,"r_gap:spelling=2,ipa=1; shave_agrees"
depressor,NN1,RRP,keep,𐑛𐑦𐑐𐑮𐑧𐑕𐑼,𐑛𐑦𐑐𐑮𐑧𐑕𐑼,dɪpresəR,dɪˈpresəR,,,shave_agrees
dermis,NN1,RRP,keep,𐑛𐑻𐑥𐑦𐑕,𐑛𐑻𐑥𐑦𐑕,dɜːRmɪs,ˈdɜːRmɪs,,,shave_agrees
derringer,NN1,RSSB,keep,𐑛𐑧𐑮𐑦𐑯𐑡𐑼,𐑛𐑧𐑮𐑦𐑯𐑡𐑼,derɪndʒəR,derɪndʒər,,,"r_gap:spelling=3,ipa=2; shave_agrees"
dhole,NN1,RRP,keep,𐑛𐑴𐑤,𐑛𐑴𐑤,dəʊl,doʊl,,,shave_agrees
diachronic,AJ0,RRP,keep,𐑛𐑲𐑩𐑒𐑮𐑪𐑯𐑦𐑒,𐑛𐑲𐑩𐑒𐑮𐑪𐑯𐑦𐑒,daɪəkrɒnɪk,daɪəˈkrɒnɪk,,,shave_agrees
